,RR,NE,MT,MP,MG,MC
797,264396.11199999996,217774.242,267600.0,258668.029,216293.429,222495.307
798,266336.8,220221.382,267600.0,208926.37699999998,218367.825,222692.434
799,266169.238,221396.10000000003,267600.0,192730.666,221905.984,223740.42200000002
800,265772.019,220782.946,267600.0,229704.75,222384.81,223416.138
801,266221.695,220286.97699999998,267600.0,253876.313,224439.423,222954.949
802,266362.428,220322.571,267600.0,263167.385,221866.494,224171.20900000003
803,266301.994,219747.89200000002,267600.0,219047.358,222128.48,223862.804
804,265147.321,219597.93899999998,267600.0,180212.329,220047.45799999998,222629.685
805,265171.925,218859.028,267600.0,224224.125,239805.92500000002,222879.5
806,264555.425,218884.672,267600.0,249394.125,238926.87,222883.327
807,265091.019,219579.169,267600.0,258646.253,240167.593,223347.631
808,265130.36699999997,218109.994,267600.0,211892.878,241356.495,222742.284
809,265720.531,218463.048,267600.0,214866.986,239438.959,222419.913
